DESCRIPTION,NAME,ID,LOCALE
,Stift- und Stifthalterungen,81e0ef06-4aa7-36a2-89b3-8066db4b28e6,de
"Ganz gleich, was Ihre Anforderungen sind, wir haben das richtige Produkt für einen perfekten Arbeitsplatz.",Diverse,888e3348-591b-30dc-9434-a9537ca805fd,de
,Tassen & Tassen,8ee07143-c75a-3711-b003-4f12a105b707,de
,Schachteln & Boxband,95d690fa-af21-3984-928f-8b85ed59e275,de
,Notizbücher & Papier,ae790495-d735-34b9-8e8e-8faf25b31edf,de
,Whiteboards & Whiteboard Reiniger,b12e37d7-1c27-3358-bf23-0fca1b68f6ae,de
,Schreibblöcke,b47c3219-b9b9-348e-a40c-8f774d99afa8,de
,"Radiergummi, Lineal & Schärfer",b539eaf0-8cfc-3a4b-b937-4d063fad14f4,de
,Kleber & Klebeband,b934dcfb-008e-3c82-806c-7261b9685e33,de
"Wir bieten Ihnen feinste Papiere und hochwertige Blöcke, Bücher und Notizblöcke für Ihren täglichen Bedarf.",Blöcke & Papier,c5bf66a9-0a45-389a-9c29-0de59b7d3f35,de
,Kugelschreiber,c7e823a1-9319-3fd4-88fe-68c9a7c6cfb8,de
,Pflanzen & Gießkannen,d9399ebd-a8f7-3f57-9641-41cd498bb22e,de
,Scheren & Messer,e17c04b6-f9fb-38eb-8f2c-1653850759a3,de
,Bleistifte & Ausmalen,e56f4410-5c74-30f2-b2d7-c6e2ceb156a4,de
,Behälter & Körbe,eea77c0d-37b6-384a-8cb8-f833de7eef00,de
,Stühle & Sitzmöbel,ef1bc511-60c5-3f11-b340-11a2fdefc46a,de
,Kalender,f1aacc97-0aaf-335e-a657-b6c3e214a078,de
Wir haben eine große Auswahl an Produkten für die Aufbewahrung von Büroartikeln und Stühlen für Ihr Zuhause oder Ihren Arbeitsplatz und andere Büroaccessoires.,Büromöbel,fa99f297-d049-3bee-95eb-da5307fe721b,de
"Hier können Sie alle Kartons, Klebebänder und Verpackungsmaterialien sowie Kuverts kaufen, die Sie für Ihr Unternehmen benötigen.",Kuverts & Verpackungen,fb98c159-b264-32e2-87ac-3a50906674b4,de
,Whiteboard Markierung,05b2fff9-0f2e-3167-98fd-ff415eb00c0c,de
,Heftmaschinen & Lochstanzmaschinen,0f2abdf9-4404-38c0-9913-41bd34a9dcb6,de
,Bänder & Schnüre,102bfc76-dfd3-3aba-8014-078377c6d190,de
,Haftnotizen,16af465c-aa59-34e2-96c8-70cd6af72cb5,de
Ob Sie es vor einem großen Publikum präsentieren oder mit Ihrem Team einen Workshop durchführen wollen: Hier finden Sie das richtige Equipment.,Meeting & Präsentation,18189952-0b89-3720-b87e-a110cdd6e524,de
,"Büroklammern, Pins & Magnete",187fcfcd-f4d2-391a-99ac-26f60fad30c2,de
,Kopierer & Druckerpapier,1e86ebdf-456f-3f43-8d48-0f8a12e8f346,de
,Ordner & Ordner,20e49be1-99f5-30b8-b566-43beeccb618b,de
"Ihr Komplettanbieter für Schreib- und Zeichenprodukte, der alle Ihre Anforderungen für Arbeit, Zuhause und Schule abdeckt.",Schreiben & Zeichnen,241ce7a8-4a80-3020-af24-2a3126f75cd0,de
,Kuverts,2b5c0a35-c5fa-3370-ade3-2afc02a5a038,de
,Tabletts,3114946a-4f46-3abb-a3c5-d9cb02b3ae7b,de
,Diverse,4c9a6118-fe4f-30f6-8cd5-c66051198341,de
,Reinigungshilfsmittel,53e11baf-2b71-3637-9289-5cfe63721b48,de
,Marker-Stifte,619b0673-7b65-3829-993b-261d5a96ba13,de
,Batterien,718b94d3-96d5-37e8-b099-e76ccd25fa5c,de
"Organisieren Sie Ihr Büro mit unserem Angebot an hochwertigen Archivierungsprodukten - alles in einem stilvollen, modernen Design.",Archivierung & Archivierung,73620409-402b-3083-b3a4-bb8386967a48,de
,Speicherlösungen,73807265-ba13-3271-9b00-d81ae63610aa,de
Ihre Lösung für den Kauf hochwertiger Artikel für den täglichen Gebrauch auf oder um Ihren Desktop.,Desktop-Grundlagen,74bced3a-9217-37ac-81bc-0b559d15bc28,de
,Verpackungsmaterial,77df9922-bed7-3a4f-ae9b-70c47897f38c,de
,Kleiderbügel,7b915d47-b6c0-3ab8-9811-b833574e2760,de
,Schreibtischleuchten,7f92197d-088b-366f-8cba-da9297ba2375,de
